t,e1,e2,e3,e4
2000,-0.182416,-0.5144,-0.959904,-1.48696
4000,-0.1996,-0.599552,-1.173536,-1.88752
6000,-0.204336,-0.628448,-1.26272,-2.06888
8000,-0.206912,-0.63824,-1.301648,-2.174544
10000,-0.205824,-0.628224,-1.30592,-2.223248
12000,-0.20208,-0.629488,-1.318384,-2.265408
14000,-0.198912,-0.626112,-1.317488,-2.285536
16000,-0.202,-0.630912,-1.32104,-2.303376
18000,-0.202608,-0.631616,-1.328688,-2.32664
20000,-0.202176,-0.63376,-1.33096,-2.341472
22000,-0.207168,-0.633168,-1.33616,-2.35632
24000,-0.198992,-0.629136,-1.329136,-2.354832
26000,-0.204912,-0.63776,-1.344672,-2.377088
28000,-0.2052,-0.636512,-1.34376,-2.38064
30000,-0.20768,-0.6324,-1.335536,-2.379648
32000,-0.207136,-0.631904,-1.337168,-2.38328
34000,-0.206032,-0.632096,-1.338736,-2.388272
36000,-0.201808,-0.626064,-1.330816,-2.382128
38000,-0.204864,-0.63592,-1.341776,-2.401264
40000,-0.203712,-0.63392,-1.339216,-2.404912
42000,-0.202544,-0.632976,-1.341488,-2.402544
44000,-0.20016,-0.6292,-1.338688,-2.401728
46000,-0.210096,-0.640416,-1.346496,-2.410384
48000,-0.20288,-0.629232,-1.339408,-2.407648
50000,-0.2008,-0.63032,-1.326912,-2.40024
52000,-0.205984,-0.640112,-1.337696,-2.411936
54000,-0.205808,-0.63936,-1.341824,-2.415952
56000,-0.202032,-0.634128,-1.341312,-2.413152
58000,-0.204016,-0.633024,-1.339504,-2.412304
60000,-0.20608,-0.634336,-1.338592,-2.416496
62000,-0.204336,-0.63656,-1.344624,-2.435328
64000,-0.20176,-0.634448,-1.337152,-2.426464
66000,-0.201664,-0.631984,-1.338176,-2.42872
68000,-0.200736,-0.628896,-1.332576,-2.423712
70000,-0.201872,-0.627008,-1.331792,-2.421152
72000,-0.20096,-0.632368,-1.341024,-2.42912
74000,-0.207344,-0.637024,-1.343968,-2.43336
76000,-0.204208,-0.63088,-1.335808,-2.4268
78000,-0.2056,-0.632,-1.333888,-2.425136
80000,-0.20192,-0.634096,-1.33624,-2.425152
82000,-0.203712,-0.633264,-1.335856,-2.427072
84000,-0.20528,-0.63728,-1.33624,-2.426576
86000,-0.207536,-0.63808,-1.338528,-2.426032
88000,-0.198832,-0.6256,-1.327744,-2.424
90000,-0.209728,-0.637856,-1.343904,-2.443696
92000,-0.20384,-0.633648,-1.335184,-2.43416
94000,-0.207888,-0.63608,-1.339488,-2.431168
96000,-0.204832,-0.64088,-1.341712,-2.436384
98000,-0.210672,-0.64328,-1.347408,-2.438672
100000,-0.206816,-0.641424,-1.34296,-2.435296
102000,-0.205376,-0.635472,-1.338176,-2.43048
104000,-0.205136,-0.631824,-1.33512,-2.42832
106000,-0.211856,-0.635584,-1.338656,-2.431744
108000,-0.203008,-0.626848,-1.327984,-2.424048
110000,-0.20456,-0.628768,-1.33144,-2.427328
112000,-0.199312,-0.63,-1.335152,-2.433328
114000,-0.201376,-0.628624,-1.32944,-2.428144
116000,-0.202256,-0.631392,-1.335152,-2.430944
118000,-0.203024,-0.627488,-1.328592,-2.427536
120000,-0.204912,-0.632448,-1.334048,-2.431392
122000,-0.20536,-0.633488,-1.331152,-2.430656
124000,-0.205552,-0.634496,-1.33184,-2.432256
126000,-0.207392,-0.638032,-1.343808,-2.445184
128000,-0.203152,-0.628656,-1.337152,-2.43648
130000,-0.202768,-0.631584,-1.337648,-2.4356
132000,-0.20344,-0.630464,-1.33304,-2.429216
134000,-0.200384,-0.625632,-1.326272,-2.423136
136000,-0.207648,-0.629232,-1.320224,-2.4172
138000,-0.203552,-0.626608,-1.324272,-2.420752
140000,-0.201088,-0.625728,-1.325728,-2.420272
142000,-0.200976,-0.626624,-1.325824,-2.422432
144000,-0.202848,-0.628688,-1.333264,-2.428848
146000,-0.20624,-0.633536,-1.339664,-2.438032
148000,-0.202416,-0.628736,-1.3308,-2.42944
150000,-0.201584,-0.629648,-1.336384,-2.440432
152000,-0.206128,-0.634192,-1.338144,-2.439536
154000,-0.199776,-0.630128,-1.333696,-2.441904
156000,-0.210704,-0.63904,-1.340976,-2.445312
158000,-0.204672,-0.628032,-1.33272,-2.436064
160000,-0.2008,-0.624416,-1.324016,-2.425136
162000,-0.203632,-0.634,-1.34,-2.441216
164000,-0.203216,-0.632416,-1.336912,-2.437952
166000,-0.20392,-0.633776,-1.341456,-2.438304
168000,-0.206032,-0.63656,-1.333344,-2.432016
170000,-0.203472,-0.634544,-1.336912,-2.438496
172000,-0.20104,-0.626288,-1.32784,-2.430576
174000,-0.204976,-0.632128,-1.338656,-2.440368
176000,-0.21152,-0.64256,-1.34624,-2.44768
178000,-0.205024,-0.635088,-1.338416,-2.439792
180000,-0.205072,-0.629488,-1.33408,-2.433152
182000,-0.198832,-0.62864,-1.331904,-2.426592
184000,-0.20312,-0.637632,-1.341872,-2.439104
186000,-0.202912,-0.630624,-1.335696,-2.434368
188000,-0.202752,-0.635456,-1.339216,-2.439904
190000,-0.205808,-0.63272,-1.339584,-2.436896
192000,-0.204592,-0.63416,-1.342336,-2.44368
194000,-0.203136,-0.635296,-1.344192,-2.446224
196000,-0.205296,-0.633568,-1.337584,-2.432416
198000,-0.205344,-0.633664,-1.336544,-2.4352
200000,-0.196624,-0.621264,-1.323408,-2.424224
202000,-0.202352,-0.630304,-1.327776,-2.433184
204000,-0.20336,-0.6268,-1.325968,-2.429936
206000,-0.20576,-0.629776,-1.324208,-2.42992
208000,-0.203904,-0.631472,-1.324848,-2.424464
210000,-0.201488,-0.62496,-1.322432,-2.421344
212000,-0.20184,-0.626464,-1.324912,-2.420976
214000,-0.203104,-0.630688,-1.33088,-2.431568
216000,-0.201232,-0.629504,-1.334256,-2.436944
218000,-0.204784,-0.631312,-1.340784,-2.445664
220000,-0.205936,-0.632896,-1.339072,-2.444528
222000,-0.207616,-0.63632,-1.335984,-2.436752
224000,-0.2048,-0.638848,-1.339136,-2.440704
226000,-0.204624,-0.638688,-1.34136,-2.443808
228000,-0.204464,-0.630544,-1.333888,-2.43896
230000,-0.201568,-0.625616,-1.334032,-2.438688
232000,-0.20728,-0.63264,-1.333872,-2.436112
234000,-0.205616,-0.635456,-1.338816,-2.439456
236000,-0.200304,-0.62944,-1.33384,-2.434816
