t,c1,c2,c3,c4
2000,1.18184,3.046912,6.78064,14.046864
4000,1.05016,3.06288,6.782304,14.46696
6000,1.044256,3.019664,6.550256,14.422704
8000,0.879344,2.74368,6.511472,14.74152
10000,0.861904,2.884192,7.065456,15.421168
12000,0.926752,3.002736,7.054464,15.475792
14000,1.002192,2.706832,6.745472,15.15032
16000,1.045472,2.941168,6.774736,15.789104
18000,1.065296,2.856928,6.36056,14.923024
20000,0.971008,2.760224,6.022576,14.65352
22000,0.931536,2.59744,5.875584,14.931296
24000,0.944496,2.403952,5.92672,14.772
26000,1.013104,2.674048,6.382752,15.832384
28000,0.938528,2.876352,6.454512,15.9324
30000,1.076624,2.799376,6.280736,15.68792
32000,0.850272,2.515392,6.60144,16.067376
34000,0.994288,2.702176,6.373216,16.205648
36000,1.034,2.490816,6.174688,15.902944
38000,1.074688,2.598912,6.368848,16.164944
40000,0.896336,2.579056,6.162704,16.446704
42000,0.785536,2.378464,6.413424,16.032864
44000,0.987632,2.64096,6.78904,15.937664
46000,0.947664,2.742976,6.847008,15.783024
48000,0.857952,2.489616,6.557584,16.3676
50000,0.917136,2.535632,6.397056,16.870368
52000,0.926864,2.697072,6.649536,18.040976
54000,0.890208,2.624048,6.3328,17.636928
56000,0.86832,2.77,6.428704,18.072352
58000,0.933248,3.0352,6.788864,18.916688
60000,0.960208,3.376064,6.968112,19.798336
62000,0.871264,3.032016,6.552448,19.05872
64000,0.951824,2.977984,6.508784,19.493744
66000,0.91592,2.832384,6.534528,19.576256
68000,0.85616,2.790816,6.727168,19.66016
70000,0.817632,2.76664,6.483888,18.809232
72000,0.966144,3.089696,6.321744,19.009792
74000,1.210704,3.157536,6.167696,18.82136
76000,0.919008,2.927936,5.928432,18.558112
78000,1.071072,2.862448,6.252496,19.616992
80000,0.960752,3.00528,6.039744,19.587216
82000,0.938048,2.967584,6.29704,20.368624
84000,0.967072,3.278032,6.798656,20.890608
86000,0.875616,2.959072,6.464304,20.690976
88000,0.974176,2.971568,6.409536,20.622048
90000,1.046192,2.819504,6.410672,20.742256
92000,0.905056,2.807248,6.643024,20.252848
94000,0.903856,2.538416,5.954544,19.756848
96000,0.964784,2.631968,5.889904,20.02
98000,1.027408,2.773088,5.902368,19.618992
100000,1.086048,3.248464,6.375904,20.14016
102000,0.989648,3.233072,6.463952,20.083792
104000,0.943856,2.603792,5.94464,19.83184
106000,1.143888,2.927952,6.456304,20.069824
108000,0.880784,2.871872,6.708832,19.9944
110000,0.957952,2.625456,6.450544,19.761408
112000,1.024448,2.725424,6.199664,19.618384
114000,0.96968,2.597504,5.934032,19.238096
116000,0.99288,2.727264,5.97168,19.430768
118000,1.106048,2.90592,6.379056,20.061104
120000,0.948384,2.870832,6.473888,20.33768
122000,1.034528,2.696288,6.48752,20.52936
124000,0.81352,2.464816,6.23816,20.084384
126000,1.051392,2.874208,6.557568,20.448032
128000,1.098384,3.206144,7.340352,21.276496
130000,0.852992,2.940928,7.436416,21.350608
132000,0.749072,2.60064,6.893792,20.401232
134000,0.948096,2.750848,7.221936,20.689248
136000,1.037488,2.941088,7.013808,20.528864
138000,0.933568,2.7184,6.808816,20.014688
140000,0.833552,2.826256,6.623392,19.70032
142000,0.740336,2.58688,6.598304,19.693872
144000,1.064992,3.06608,7.25728,21.148944
146000,0.991792,2.8716,6.859744,20.492768
148000,0.95208,2.754224,6.671152,20.02648
150000,0.895072,2.596144,5.949296,19.687328
152000,0.894576,2.67336,6.224128,20.296928
154000,0.98872,2.774096,6.175328,19.955216
156000,0.989088,2.842704,6.370464,19.923504
158000,0.9176,2.86664,6.238976,19.735936
160000,0.808112,2.734448,6.47576,20.332112
162000,0.982416,2.561072,6.181728,19.878416
164000,0.883056,2.618016,5.87568,19.783088
166000,0.76392,2.442944,5.853424,19.782912
168000,0.864496,2.35896,5.800464,20.032848
170000,0.87544,2.736416,6.766048,20.947552
172000,0.887104,2.48008,6.26088,20.457696
174000,0.904608,2.682608,6.643936,20.956784
176000,0.968272,2.808064,6.812752,21.280208
178000,0.88952,2.983904,6.755632,21.762304
180000,0.99736,2.776448,6.7088,21.057728
182000,0.904928,2.623776,6.347456,21.095088
184000,0.929088,2.53096,5.949168,20.0528
186000,0.862112,2.42144,6.04808,20.3924
188000,0.915408,2.455456,6.150384,20.926736
190000,0.978416,2.724848,6.47808,21.699632
192000,0.760928,2.51568,6.131232,21.91216
194000,0.783168,2.697536,6.32696,21.7972
196000,0.867088,2.476128,6.483696,21.646912
198000,0.797248,2.41472,6.19336,21.08176
200000,0.84032,2.355664,5.778544,20.444192
202000,0.899712,2.613312,6.298416,20.659024
204000,0.884496,2.630288,6.326144,20.697232
206000,0.919744,2.596096,6.412896,21.167248
